Month,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom
Jan-08,13,0,0,0,0,0,1,0,6,10,10,0,15,0,17,15,0,0,0,0,53,0,0,0,0,0,0,24,5,6,8,4,8
Feb-08,10,10,0,0,0,0,7,0,9,17,4,79,11,0,0,4,0,0,0,0,0,2,0,3,0,0,0,0,0,6,4,0,12
Mar-08,22,0,0,0,0,0,8,0,6,7,13,0,15,0,6,18,0,0,0,0,0,1,0,6,0,0,0,0,0,5,4,2,10
Apr-08,16,0,0,41,0,52,10,0,14,14,9,0,16,0,0,7,64,0,0,69,0,2,27,0,15,0,0,0,5,7,4,2,8
May-08,40,0,0,0,0,52,7,40,15,37,20,0,16,0,17,10,0,0,0,0,50,2,0,0,0,0,0,0,0,20,8,2,8
Jun-08,43,5,0,0,0,0,10,43,10,34,19,0,11,0,6,10,71,0,40,0,0,5,29,9,0,0,0,26,0,9,8,2,17
Jul-08,27,0,81,0,0,0,2,0,16,19,17,0,10,0,17,14,0,0,0,0,0,8,0,3,16,0,0,0,0,7,21,2,21
Aug-08,10,5,0,0,0,0,6,0,22,11,16,0,16,0,12,18,66,0,39,0,0,4,27,6,0,0,0,0,0,11,17,9,11
Sep-08,24,0,0,0,0,0,4,0,19,14,15,68,15,0,6,0,0,0,0,0,0,6,25,14,0,0,0,0,4,7,11,4,6
Oct-08,22,0,0,0,0,0,11,0,12,24,12,65,18,0,15,0,0,0,0,0,0,5,22,10,13,0,0,21,0,7,4,4,10
Nov-08,11,13,0,42,0,46,8,0,18,10,9,0,4,0,11,15,0,0,0,0,50,4,46,3,0,0,0,0,4,7,11,2,7
Dec-08,27,9,0,0,0,46,9,32,8,16,10,0,4,0,0,19,0,0,60,0,0,7,0,0,0,0,0,0,0,11,4,2,10
Jan-09,16,4,0,0,0,0,9,0,14,10,9,0,7,0,5,3,0,0,27,0,90,2,21,4,0,0,0,0,0,8,3,7,9
Feb-09,11,9,0,0,0,0,7,30,5,9,11,0,20,0,0,11,51,0,57,0,0,7,23,2,0,0,0,0,4,10,7,4,10
Mar-09,10,0,0,0,0,0,13,53,23,13,10,69,7,0,5,10,0,0,0,0,0,7,0,2,0,0,0,0,4,11,10,0,9
Apr-09,14,4,0,0,0,0,5,58,12,13,8,0,0,0,9,15,0,0,0,0,50,8,0,5,25,0,0,0,4,11,7,4,17
May-09,24,0,0,38,0,0,6,0,19,11,9,0,4,0,22,9,0,0,0,0,49,14,0,5,34,0,0,0,0,8,7,2,9
Jun-09,13,4,0,0,0,0,8,30,16,8,13,0,15,0,14,6,0,0,0,0,50,6,45,2,0,0,0,0,3,6,3,4,10
Jul-09,8,9,63,0,0,44,7,0,15,7,10,0,20,0,9,14,0,0,30,0,0,14,25,5,12,0,0,0,0,4,0,4,6
Aug-09,20,8,0,0,0,0,7,29,32,12,15,0,20,0,5,10,0,0,29,0,0,13,42,20,0,0,0,22,8,9,14,8,8
Sep-09,26,11,62,37,0,0,3,26,31,16,17,59,26,0,9,3,0,0,26,0,0,13,0,19,0,0,0,0,7,2,0,2,10
Oct-09,10,4,0,0,0,0,14,0,6,14,13,0,18,0,0,13,0,0,23,0,42,6,37,15,0,0,0,37,0,3,9,7,7
Nov-09,19,3,0,0,0,0,12,23,17,17,12,0,27,0,21,18,0,0,0,56,0,12,35,29,0,0,0,0,3,3,28,16,12
Dec-09,8,21,0,35,0,36,13,0,9,17,15,54,21,0,5,3,0,0,0,0,0,9,0,30,12,0,0,0,10,3,19,8,9
Jan-10,20,36,0,0,0,31,6,0,10,15,16,0,12,0,12,7,0,0,0,0,0,12,17,21,0,0,0,0,9,7,3,3,12
Feb-10,7,11,0,33,0,0,10,0,2,11,11,0,20,0,18,15,100,0,22,0,0,4,18,15,0,0,0,20,15,6,6,3,8
Mar-10,22,3,0,61,0,30,7,0,4,10,13,0,21,0,20,7,0,0,20,52,0,10,0,12,0,0,0,17,3,6,20,12,12
Apr-10,12,11,0,100,0,33,7,0,8,12,12,100,16,0,38,20,0,0,0,0,39,12,0,4,0,0,0,20,15,3,12,6,10
May-10,22,14,54,0,0,0,5,0,4,6,18,48,9,0,17,17,0,82,22,0,0,5,0,10,0,0,0,37,14,7,6,3,11
Jun-10,23,4,0,0,0,0,6,24,12,6,8,0,10,0,9,10,0,0,48,0,0,9,0,15,0,0,0,0,6,6,9,13,7
Jul-10,18,4,0,0,0,0,8,0,12,6,15,0,10,0,14,10,0,0,0,0,40,5,59,11,0,0,0,21,0,3,10,10,9
Aug-10,17,21,56,0,0,33,10,0,10,1,15,0,43,0,14,17,0,0,0,0,0,4,0,4,26,0,0,20,6,8,12,10,8
Sep-10,24,10,0,31,0,0,5,0,10,8,15,0,9,0,13,9,0,78,22,0,0,8,0,4,0,0,0,54,5,7,12,13,10
Oct-10,18,10,0,30,0,0,3,0,8,19,15,0,15,0,10,7,0,0,41,52,100,4,0,22,0,0,0,0,10,5,19,21,8
Nov-10,18,23,0,30,0,27,8,0,13,11,16,0,14,73,15,19,0,0,0,0,0,7,0,7,0,0,0,18,5,7,13,14,10
Dec-10,19,13,46,0,0,0,6,39,19,15,10,0,17,0,19,16,0,0,0,0,0,6,15,7,0,0,0,18,3,3,8,17,12
Jan-11,27,16,0,0,0,0,7,16,11,11,17,0,14,0,7,16,0,0,0,0,22,8,21,14,14,0,0,11,2,2,10,18,18
Feb-11,37,10,52,0,0,0,10,17,5,11,19,0,6,0,8,8,0,0,0,42,47,9,0,9,7,0,31,12,10,6,17,21,14
Mar-11,33,25,99,0,0,0,9,45,12,14,22,16,27,0,7,9,0,0,31,0,0,12,0,14,20,0,0,11,4,6,15,24,15
Apr-11,7,13,27,0,0,0,8,16,5,14,26,0,23,0,15,17,0,0,71,0,0,20,0,22,0,0,0,25,12,5,7,40,14
May-11,24,23,27,15,0,0,7,0,8,10,37,0,21,0,2,14,0,0,17,0,21,15,41,12,7,0,0,23,9,7,17,14,13
Jun-11,25,9,27,0,0,0,6,0,7,9,34,0,23,0,10,12,30,0,0,0,22,14,11,10,7,0,0,0,5,4,12,22,11
Jul-11,19,8,0,0,0,0,8,18,7,8,30,0,6,0,10,15,0,0,0,38,0,12,13,16,0,0,33,26,3,7,11,23,11
Aug-11,33,7,0,16,0,20,6,48,2,9,19,0,18,0,5,11,0,0,18,0,21,9,31,10,7,0,0,12,3,5,12,10,11
Sep-11,29,25,0,29,0,38,6,30,12,11,28,0,26,0,5,11,0,0,0,0,0,10,19,16,0,0,0,12,2,5,25,20,13
Oct-11,10,21,48,41,0,0,10,14,4,20,19,14,17,57,22,18,0,0,16,0,55,11,64,22,6,0,28,21,17,4,7,26,12
Nov-11,28,15,24,13,0,33,8,55,10,17,17,0,32,0,13,19,0,0,0,0,0,12,18,27,0,0,0,21,2,4,16,24,11
Dec-11,29,35,23,0,0,0,12,0,5,19,19,0,19,0,18,30,0,0,0,0,0,17,9,26,6,0,27,0,2,3,5,34,12
Jan-12,24,49,20,24,0,0,14,0,8,18,19,13,34,0,27,27,0,0,0,31,17,33,17,15,23,0,0,0,12,6,18,30,19
Feb-12,28,48,21,12,0,31,6,39,3,17,24,0,27,0,10,17,0,0,0,0,0,33,18,20,12,0,0,10,4,5,12,20,13
Mar-12,33,58,21,0,0,0,10,48,9,19,24,0,32,0,18,21,21,0,27,0,0,35,0,18,40,0,0,20,16,6,13,19,14
Apr-12,47,16,0,13,0,0,10,13,17,18,39,0,33,0,10,34,23,0,15,34,0,27,27,6,12,0,26,82,13,6,20,22,15
May-12,26,18,65,0,0,14,8,38,4,20,29,12,35,0,6,24,22,0,0,62,17,29,25,10,22,0,0,10,6,8,20,41,14
Jun-12,22,20,0,13,0,15,8,14,12,9,29,0,19,64,26,23,24,0,16,0,0,34,26,4,18,0,0,32,9,4,12,16,11
Jul-12,16,30,46,13,0,0,7,56,12,22,23,14,19,0,16,14,0,0,49,0,18,19,0,8,6,0,28,0,4,8,12,18,12
Aug-12,25,12,0,13,0,0,12,26,8,16,23,0,16,0,14,30,0,0,16,35,35,17,41,4,12,0,28,32,12,7,12,9,12
Sep-12,24,30,24,12,0,45,15,12,11,31,25,0,28,0,20,25,45,0,0,0,17,20,47,6,17,0,0,59,6,7,11,16,18
Oct-12,21,5,0,22,0,13,12,45,10,29,25,0,22,100,23,20,0,47,26,0,46,17,22,10,0,0,23,44,7,6,10,18,13
Nov-12,20,34,0,0,98,52,10,23,6,24,18,12,20,0,14,24,0,0,13,58,47,18,15,8,16,0,45,9,2,6,4,12,12
Dec-12,15,18,0,0,0,0,9,23,4,18,17,12,15,53,9,33,0,0,0,0,0,21,8,14,5,0,0,9,10,5,8,12,13
Jan-13,20,16,35,29,0,0,11,10,7,19,18,11,12,0,6,24,0,0,0,0,0,21,7,6,5,0,0,16,5,4,12,12,11
Feb-13,15,15,0,11,0,13,8,11,5,14,16,0,17,0,17,26,0,0,13,0,33,19,38,5,17,0,22,9,7,7,14,18,13
Mar-13,26,21,0,10,0,0,5,50,8,20,18,0,9,0,17,19,0,0,0,0,0,20,28,6,5,0,20,32,5,6,5,20,10
Apr-13,18,23,0,21,0,0,10,10,9,12,18,0,12,0,18,17,18,0,0,0,43,17,27,7,10,0,0,27,5,6,10,12,11
May-13,22,16,20,0,0,12,14,31,6,15,25,0,13,0,23,22,0,0,13,0,0,20,27,9,0,0,21,25,7,7,13,12,11
Jun-13,30,17,19,0,0,12,6,0,7,14,20,11,13,0,20,27,0,0,0,0,29,20,21,9,16,0,45,9,14,6,15,9,13
Jul-13,19,17,19,10,0,13,9,23,11,18,25,11,21,0,16,20,0,0,0,0,14,24,16,3,10,0,24,0,7,9,8,16,16
Aug-13,26,34,0,0,0,38,10,44,9,10,22,0,22,0,13,17,0,0,14,0,27,31,27,4,6,0,0,9,4,9,11,20,15
Sep-13,23,21,0,10,0,24,10,31,8,19,23,10,10,0,15,23,0,0,13,0,0,23,20,4,0,0,0,34,3,9,12,18,16
Oct-13,19,19,0,0,0,0,8,47,15,17,27,0,16,0,14,27,0,0,12,0,13,30,19,4,9,0,0,33,8,11,14,7,17
Nov-13,40,26,0,10,0,21,7,68,10,14,42,0,5,0,6,26,0,0,24,82,13,31,26,6,20,0,40,0,8,8,25,13,19
Dec-13,27,23,0,10,0,0,11,58,11,15,22,0,11,0,16,30,34,92,0,57,0,34,7,12,10,0,40,8,7,10,15,16,14
Jan-14,35,40,30,18,0,9,7,9,12,17,20,0,12,0,10,23,16,0,10,25,25,24,6,7,32,0,0,36,9,8,13,19,16
Feb-14,26,13,0,10,0,22,6,30,14,16,17,0,20,0,47,26,18,0,0,55,42,22,7,6,10,0,20,17,12,8,13,19,15
Mar-14,33,17,16,28,62,30,12,35,21,20,22,0,19,41,17,26,0,0,33,0,13,18,24,7,19,0,0,32,9,13,23,13,17
Apr-14,29,17,0,38,0,0,13,37,11,18,20,9,18,0,13,23,17,0,35,27,0,21,26,14,20,0,0,49,10,10,19,10,16
May-14,33,25,0,19,0,10,10,100,13,18,24,0,20,0,12,20,0,0,24,52,24,29,19,5,19,0,0,0,11,9,22,13,16
Jun-14,24,13,19,22,0,36,7,10,9,15,18,0,20,50,9,14,38,0,14,0,26,29,43,11,16,0,22,9,6,10,11,11,16
Jul-14,24,7,0,0,0,0,9,53,11,13,21,0,16,0,10,42,0,39,14,55,25,22,47,9,0,0,0,43,8,16,14,11,18
Aug-14,24,18,20,11,0,12,8,40,13,16,20,0,10,0,12,32,0,0,14,0,0,21,39,13,11,0,0,33,8,13,11,17,17
Sep-14,43,29,0,20,0,11,11,9,15,17,19,0,14,0,12,24,0,0,0,0,12,25,13,9,20,0,0,8,7,19,12,22,18
Oct-14,26,14,0,10,0,32,17,27,9,27,24,0,13,0,21,17,0,0,24,26,23,19,12,6,35,0,0,23,8,11,21,20,17
Nov-14,28,21,0,10,0,10,17,28,10,21,22,10,13,0,12,40,16,0,36,0,0,21,25,7,21,0,20,23,7,13,27,17,18
Dec-14,22,13,17,0,0,21,12,9,10,16,23,0,8,0,10,44,16,0,0,57,14,21,7,7,22,0,100,49,12,9,16,16,17
Jan-15,27,32,46,55,0,9,14,25,9,19,15,9,18,0,16,24,15,0,11,25,13,15,42,9,15,0,18,58,6,10,21,13,17
Feb-15,25,7,0,10,0,10,11,18,6,31,18,9,21,0,12,27,16,0,24,27,14,22,47,7,23,0,0,15,12,10,24,20,17
Mar-15,26,16,31,67,59,9,18,51,19,14,16,0,16,0,10,33,0,0,22,0,12,22,50,10,21,0,18,53,13,12,20,16,17
Apr-15,29,25,17,20,0,47,15,43,22,31,17,19,22,0,19,30,15,77,12,0,13,24,51,12,22,0,19,25,8,12,16,14,18
May-15,30,21,18,39,0,18,15,17,14,25,21,9,28,41,19,23,16,0,35,27,12,20,42,8,0,0,38,69,5,12,20,19,19
Jun-15,15,17,0,10,0,0,14,9,19,18,24,0,13,0,20,21,0,0,13,0,50,26,19,9,0,0,20,8,8,13,17,16,19
Jul-15,28,16,34,37,0,21,15,0,15,19,22,0,12,0,16,25,0,0,12,0,24,22,49,9,16,0,0,9,8,13,27,17,20
Aug-15,21,14,0,9,0,47,16,8,18,23,24,0,32,40,26,21,16,0,13,0,23,17,62,14,11,0,0,25,5,17,23,17,18
Sep-15,41,37,34,28,0,9,17,35,20,17,24,0,19,0,23,26,0,0,0,26,12,27,17,5,11,0,58,24,9,18,20,12,20
Oct-15,31,58,0,9,0,0,18,8,19,29,25,0,28,0,12,23,0,0,0,0,33,20,23,9,50,0,18,22,10,17,21,25,22
Nov-15,42,24,0,0,0,0,13,36,14,29,24,0,29,0,15,38,28,0,33,25,0,19,23,4,32,0,36,0,12,16,16,21,21
Dec-15,35,50,0,9,0,27,18,9,25,26,24,0,33,0,9,48,0,46,22,0,26,19,25,8,23,0,36,15,15,18,28,19,19
Jan-16,50,49,30,19,0,8,10,35,8,21,23,0,19,0,17,37,15,0,0,0,12,27,22,11,44,0,0,42,16,14,16,15,18
Feb-16,40,19,16,0,0,25,11,27,16,23,30,0,24,0,22,34,0,0,24,0,13,27,75,3,31,0,0,35,13,14,22,12,16
Mar-16,45,29,0,10,0,16,10,42,14,27,26,0,31,0,25,35,0,0,0,0,24,28,11,12,20,0,19,17,13,15,16,17,18
Apr-16,64,31,35,31,0,16,8,27,16,18,56,0,35,0,16,42,15,0,0,0,12,23,22,11,20,0,40,65,14,18,37,24,22
May-16,44,16,0,0,0,16,11,37,20,27,48,9,42,0,17,27,0,44,0,0,11,22,11,13,14,0,20,35,9,17,23,16,19
Jun-16,50,28,0,20,0,34,12,29,21,15,32,0,39,0,18,25,51,0,14,0,0,21,23,16,31,0,0,9,5,13,21,20,20
Jul-16,41,25,18,0,0,79,14,21,14,20,32,0,48,0,13,26,36,0,28,50,25,14,66,8,17,0,23,11,11,15,9,14,20
Aug-16,44,24,0,10,0,10,15,43,16,23,31,0,47,43,12,33,54,0,0,29,0,21,24,12,23,31,0,33,12,17,21,22,16
Sep-16,44,38,57,11,0,28,14,20,19,25,32,9,58,0,14,40,53,0,0,25,41,16,47,14,44,0,23,53,14,16,18,16,22
Oct-16,44,24,35,0,0,17,14,29,22,30,49,0,62,0,19,30,50,50,26,49,14,24,40,16,64,14,42,20,17,15,20,19,22
Nov-16,77,40,34,0,0,16,14,20,22,27,47,0,100,0,26,36,16,48,0,24,0,21,40,14,43,14,21,19,16,20,26,24,24
Dec-16,55,28,33,32,0,50,14,0,24,35,35,0,56,0,22,47,0,52,50,25,30,29,23,10,22,0,20,10,8,17,22,18,23
Jan-17,52,42,0,19,0,23,11,0,29,28,32,0,50,0,17,32,0,0,23,0,0,24,52,15,20,0,18,43,22,20,24,21,24
Feb-17,59,23,33,11,0,17,17,19,16,31,35,0,48,0,25,41,0,50,26,0,15,20,23,15,43,0,0,28,15,15,25,13,26
Mar-17,62,20,0,10,48,22,16,33,19,21,37,8,47,0,27,24,0,0,11,0,25,29,30,22,23,0,18,17,22,17,39,22,26
Apr-17,66,31,17,10,0,23,18,27,20,22,40,0,41,0,29,37,15,0,37,24,26,32,0,21,10,0,19,9,14,18,25,21,24
May-17,55,41,17,21,0,40,9,18,34,21,38,0,43,0,20,33,0,0,26,22,0,29,37,17,25,0,41,9,20,24,34,17,24
Jun-17,37,26,0,42,0,61,14,30,25,24,37,19,36,0,21,34,0,0,14,24,0,32,39,15,27,0,0,19,27,21,22,18,23
Jul-17,70,52,18,29,57,54,21,40,34,31,54,0,50,0,32,30,17,100,14,23,14,37,43,16,43,0,0,32,22,26,41,23,46
Aug-17,70,38,34,18,0,25,21,37,46,32,72,9,58,0,32,34,0,0,26,0,14,29,58,16,26,0,0,47,19,26,42,20,33
Sep-17,64,30,18,10,0,57,15,18,29,31,61,0,68,0,37,46,0,87,52,0,14,36,31,18,41,0,0,18,31,22,30,30,38
Oct-17,56,54,33,10,49,14,22,34,20,42,46,17,57,0,48,38,14,0,71,0,12,37,40,16,33,14,19,53,17,25,35,28,32
Nov-17,51,40,16,0,0,50,19,34,34,37,49,9,47,0,37,68,0,0,23,0,26,39,30,19,25,27,19,33,38,26,38,44,36
Dec-17,33,21,48,10,0,82,14,9,29,30,40,0,52,0,29,56,30,54,24,23,42,38,48,21,36,0,19,26,19,29,20,32,31
Jan-18,41,45,15,9,0,46,15,8,27,31,39,8,57,0,42,39,0,0,33,20,12,37,48,22,70,12,34,31,23,23,34,27,29
Feb-18,33,38,32,29,56,22,14,18,16,32,44,0,48,0,32,35,0,0,25,0,27,44,43,11,46,0,0,43,21,26,29,31,32
Mar-18,53,31,15,0,0,68,20,24,18,26,43,17,35,0,29,48,0,0,67,19,0,33,20,20,46,13,69,23,18,26,35,30,29
Apr-18,42,27,17,10,50,44,17,25,35,29,36,9,53,36,47,54,15,0,36,21,24,43,25,19,42,15,19,45,31,26,29,19,29
May-18,48,41,33,27,0,69,15,34,19,30,39,25,53,0,39,56,0,0,0,40,35,40,66,15,50,27,18,25,37,29,32,32,28
Jun-18,39,34,0,9,49,43,17,35,29,31,41,24,30,0,37,47,0,0,51,0,12,44,41,21,37,14,58,9,28,31,30,31,29
Jul-18,35,42,16,0,48,66,24,44,39,25,39,0,66,0,40,34,45,0,37,0,0,40,39,15,36,13,19,17,34,31,19,32,33
Aug-18,42,25,32,8,0,100,24,17,31,39,41,8,52,0,42,50,14,0,74,44,56,43,24,17,46,14,0,25,32,33,32,32,30
Sep-18,48,40,86,18,50,43,25,26,34,47,51,32,70,34,36,46,30,0,25,42,12,44,25,24,43,29,39,44,56,37,44,28,38
Oct-18,76,51,50,9,0,27,45,76,35,79,63,0,95,0,66,45,28,0,12,57,59,53,74,22,42,14,0,34,51,36,52,25,44
Nov-18,59,47,64,28,0,61,27,17,36,87,59,17,88,0,42,55,14,48,36,60,50,59,44,22,81,27,55,25,92,38,54,25,36
Dec-18,43,46,16,9,0,7,46,35,60,51,60,17,63,0,40,71,29,51,60,22,14,79,36,24,62,68,56,36,69,39,41,31,32
Jan-19,62,88,30,18,0,33,25,25,43,48,60,0,48,0,60,45,0,0,11,37,26,60,28,13,57,12,0,24,63,33,35,27,39
Feb-19,34,67,34,0,59,51,32,18,34,38,49,27,73,0,53,57,0,49,12,84,28,54,26,28,65,28,19,9,55,36,44,24,42
Mar-19,48,56,0,18,0,40,38,33,44,50,62,17,71,0,52,60,0,47,11,75,78,48,24,22,48,27,72,33,30,30,53,21,44
Apr-19,52,50,34,9,0,56,38,26,35,41,53,18,64,0,68,46,30,0,100,100,51,61,47,34,71,29,0,42,52,38,45,29,41
May-19,49,53,0,33,0,57,44,16,25,49,54,8,80,0,59,51,0,0,23,93,62,62,56,28,36,26,34,23,53,43,53,24,49
Jun-19,43,32,68,8,0,70,39,79,37,44,58,0,71,0,100,43,31,0,25,58,44,52,25,26,59,14,20,26,44,35,42,30,53
Jul-19,49,44,33,15,0,42,33,59,41,43,51,30,69,0,52,45,28,0,12,39,42,55,55,26,69,27,0,34,50,41,36,27,59
Aug-19,49,57,32,0,52,48,25,41,36,45,49,0,71,0,59,43,0,0,24,44,20,52,28,24,22,82,0,25,50,34,31,34,49
Sep-19,58,44,100,16,0,53,39,32,38,41,68,0,61,0,62,50,0,0,34,57,21,59,50,22,60,27,55,56,38,39,40,39,49
Oct-19,47,45,62,25,45,36,36,61,46,57,50,7,57,0,78,64,13,83,32,0,38,67,45,23,52,13,34,8,45,43,41,25,58
Nov-19,67,53,30,8,0,66,40,23,56,53,75,53,83,0,54,54,0,0,11,18,59,92,68,33,51,60,0,38,65,35,43,40,55
Dec-19,58,67,15,25,50,43,38,70,51,52,62,38,73,36,44,64,13,45,21,18,0,82,28,36,61,50,17,100,61,31,55,100,55
Jan-20,85,100,68,23,0,38,55,14,53,53,66,29,67,32,73,71,0,0,19,67,58,90,37,35,43,66,15,21,54,48,56,48,66
Feb-20,59,44,57,33,100,17,38,30,50,60,59,37,70,0,70,64,0,83,31,53,41,89,71,15,45,46,32,15,57,47,52,39,80
Mar-20,22,26,25,7,43,45,29,53,24,36,34,13,57,30,35,35,11,0,9,0,34,60,41,14,45,52,28,31,45,37,33,23,44
Apr-20,34,24,0,0,0,63,34,14,37,35,29,0,47,0,33,57,23,0,9,36,33,46,55,21,17,44,14,7,19,33,45,20,34
May-20,38,46,51,7,0,87,36,62,19,69,44,14,78,35,31,65,24,0,54,17,49,52,90,24,47,41,14,39,42,32,39,25,43
Jun-20,62,40,13,15,48,42,47,37,32,91,97,49,67,0,45,67,26,0,19,86,53,71,59,27,44,33,29,47,55,36,47,31,52
Jul-20,62,52,57,45,0,86,49,36,47,71,72,36,62,0,52,69,38,0,91,68,0,85,91,100,51,69,16,0,59,44,35,44,55
Aug-20,53,39,28,7,0,68,46,80,38,75,65,21,65,32,43,74,0,79,40,57,0,52,50,51,67,24,79,56,42,40,48,32,66
Sep-20,66,53,73,17,44,56,99,49,47,76,73,27,63,33,66,67,25,74,50,54,18,75,62,28,67,60,16,28,67,44,50,33,64
Oct-20,82,47,56,42,90,64,62,38,47,79,63,29,75,0,62,70,76,0,19,52,95,69,79,24,41,57,0,63,67,52,42,34,58
Nov-20,62,54,55,17,0,84,58,15,65,71,74,20,55,0,44,95,0,36,56,36,37,61,58,22,41,33,45,33,57,42,42,32,72
Dec-20,71,49,39,25,0,34,75,30,40,77,64,19,67,0,70,100,0,0,46,19,0,68,17,41,38,89,61,33,53,40,43,32,66
Jan-21,89,84,25,8,0,27,57,37,74,80,70,40,55,0,73,79,0,36,62,53,55,75,45,26,22,62,28,32,68,43,51,41,65
Feb-21,93,46,43,9,0,47,67,64,74,78,73,22,60,41,53,74,13,76,39,57,63,63,51,27,30,35,31,15,50,46,71,50,78
Mar-21,75,76,0,8,0,87,86,56,77,80,77,20,69,0,72,82,35,0,52,16,18,65,66,25,43,21,28,21,54,50,69,37,74
Apr-21,100,51,55,9,0,79,81,45,59,78,83,43,72,0,61,93,38,38,39,0,17,66,69,34,79,82,16,36,95,61,100,40,77
May-21,68,66,73,67,0,56,84,61,73,90,79,29,73,0,62,92,0,0,57,35,17,77,55,34,98,69,0,7,83,64,62,44,85
Jun-21,58,75,29,52,0,67,73,42,67,89,78,43,74,37,62,72,29,0,43,35,18,76,40,26,27,59,53,31,77,52,72,40,87
Jul-21,76,82,73,15,0,50,79,24,99,93,89,14,72,0,67,92,0,39,33,72,36,95,33,38,100,73,70,8,85,72,68,43,95
Aug-21,73,99,30,7,0,56,99,48,92,100,84,14,72,33,82,86,42,0,43,86,18,100,62,54,73,100,35,23,86,86,75,44,100
Sep-21,93,66,85,58,0,80,100,65,100,93,100,29,85,0,68,77,0,0,44,49,26,96,100,32,59,68,25,62,100,100,81,46,97